sample_id,site_id,site_name,sample_date
150893,18566,SF1.0,2013-09-12
150894,18567,SF3.0,2013-09-12
151067,5451,CRMO-LC-01,2013-06-21
151206,714,2013ORWLD1001,2013-08-04
151208,716,2013ORWLD1016,2013-08-06
151336,20404,STCNM,2013-08-13
151337,5544,CURECANTI_CK_1,2013-08-28
151338,9615,LF_GUN_GATEVIEW,2013-08-08
151339,4488,CIMCPG-1,2013-08-12
151340,6596,E_ELK_MOUTH,2013-08-19
151341,17803,RED_CK_MOUTH,2013-08-29
151342,19690,SOAP_AB_CHANCE,2013-08-07
151343,26175,"WEST ELK CR BELOW FOREST BOUNDARY NR SAPINERO, CO",2013-08-15
151344,2943,BEAVER_HWY_50,2013-08-01
151345,16508,PINE_HWY_50,2013-08-21
151346,9615,LF_GUN_GATEVIEW,2013-08-08
152059,714,2013ORWLD1001,2005-06-30
152060,716,2013ORWLD1016,2005-07-01
152824,18297,SANGAB-DOWN,2014-08-20
152825,18297,SANGAB-DOWN,2014-08-20
152826,18297,SANGAB-DOWN,2014-08-20
152827,18296,SANGAB-BTWX,2014-08-20
152828,18298,SANGAB-UP,2014-08-20
152829,18298,SANGAB-UP,2014-08-20
152830,18298,SANGAB-UP,2014-08-20
152831,18298,SANGAB-UP,2014-08-20
152847,18644,SFREF1,2014-06-24
152848,18566,SF1.0,2014-06-24
152849,18567,SF3.0,2014-06-24
152852,10440,MIDCRMID,2014-06-24
152856,11565,MXR-downstream,2014-06-25
152907,24126,VERNAL:15,2014-07-23
152935,10491,MillCrS03-13,2013-09-30
153155,28258,XE-RM-5073,2013-09-10
153182,28266,XE-SS-5099,2014-06-14
153184,13574,OT-SS-7145,2014-06-20
153185,10704,MP-SS-2116,2014-06-21
153187,28330,XN-SS-4145,2014-06-21
153188,28315,XN-SS-4097,2014-06-18
153189,28200,XE-LS-5019,2014-07-08
153190,28206,XE-LS-5030,2014-06-09
153191,28263,XE-RO-5085,2014-07-08
153194,10680,MP-SS-2080,2014-06-25
153195,28196,XE-LS-5011,2014-07-08
153196,11254,MS-LS-3016,2014-06-15
153198,11272,MS-RO-3089,2014-06-21
153199,11261,MS-LS-3026,2014-07-06
153200,28209,XE-LS-5034,2014-07-04
153201,28354,XS-LS-6041,2014-06-11
153202,13542,OT-LS-7017,2014-06-20
153204,28312,XN-RO-4085,2014-06-19
153205,13530,OT-LS-7001,2014-06-18
153206,28286,XN-LS-4003,2014-06-23
153208,28201,XE-LS-5021,2014-06-13
153211,28327,XN-SS-4135,2014-06-20
153213,11291,MS-SS-3129,2014-07-07
153214,28205,XE-LS-5027,2014-07-07
153215,28260,XE-RO-5081,2014-06-10
153216,28386,XS-SS-6146,2014-06-10
153217,11294,MS-SS-3133,2014-07-04
153218,11250,MS-LS-3007,2014-07-06
153221,28362,XS-RO-6083,2014-06-19
153224,28345,XS-LS-6020,2014-06-20
153225,11281,MS-SS-3105,2014-07-03
153226,10701,MP-SS-2111,2014-06-19
153228,13561,OT-SS-7108,2014-06-15
153229,28278,XE-SS-5143,2014-06-11
153230,13534,OT-LS-7006,2014-06-16
153233,28364,XS-RO-6087,2014-06-11
153234,28268,XE-SS-5105,2014-07-18
153235,28284,XE-SS-5157,2014-07-23
153236,28314,XN-SS-4095,2014-07-13
153239,28303,XN-LS-4029,2014-07-17
153240,10554,MN-RO-1083,2014-07-25
153241,28281,XE-SS-5153,2014-07-22
153242,10569,MN-SS-1129,2014-07-23
153243,10551,MN-RM-1073,2014-07-24
153244,28200,XE-LS-5019,2014-07-21
153245,10577,MN-SS-1145,2014-07-19
153246,10570,MN-SS-1133,2014-07-19
153247,10566,MN-SS-1121,2014-07-17
153249,10574,MN-SS-1140,2014-07-18
153251,28271,XE-SS-5114,2014-07-18
153252,10569,MN-SS-1129,2014-07-20
153253,10576,MN-SS-1143,2014-07-22
153254,10575,MN-SS-1142,2014-07-22
153255,28305,XN-RM-4071,2014-07-21
153259,10579,MN-SS-1147,2014-08-01
153260,10542,MN-LS-1019,2014-08-02
153261,11260,MS-LS-3024,2014-08-03
153262,28301,XN-LS-4027,2014-08-03
153263,28313,XN-RO-4086,2014-08-04
153265,28268,XE-SS-5105,2014-08-05
153267,28291,XN-LS-4012,2014-08-08
153268,28359,XS-RM-6076,2014-08-14
153270,10687,MP-SS-2091,2014-08-14
153272,11286,MS-SS-3118,2014-08-18
153274,11260,MS-LS-3024,2014-08-14
153275,10693,MP-SS-2100,2014-08-30
153276,10696,MP-SS-2105,2014-08-28
153277,11265,MS-RM-3071,2014-08-22
153278,11267,MS-RM-3073,2014-08-24
153279,11268,MS-RM-3074,2014-08-20
153280,11269,MS-RM-3075,2014-08-25
153281,11271,MS-RO-3087,2014-08-23
153282,28257,XE-RM-5072,2014-08-18
153285,10687,MP-SS-2091,2014-09-13
153286,10692,MP-SS-2099,2014-09-17
153287,10698,MP-SS-2107,2014-09-14
153288,10700,MP-SS-2110,2014-09-10
153289,11266,MS-RM-3072,2014-08-21
153290,13539,OT-LS-7012,2014-09-10
153291,13545,OT-LS-7024,2014-08-28
153292,13553,OT-RM-7083,2014-08-22
153293,13558,OT-RO-7095,2014-08-25
153294,13571,OT-SS-7133,2014-09-11
153295,28306,XN-RM-4072,2014-08-29
